metric,n_obs,beta_metric,t_metric,p_metric,delta_interaction,t_delta,p_delta,gamma_status,t_gamma,p_gamma,r2,llf,aic,bic,oos_n_obs,oos_rmse,oos_mae,abs_t_metric,sig_bin,beta_sig,delta_sig,perspective,outcome,sig_group,sig_label
seq_duration,866186,0.011298636963726365,7.364935146777639,1.7723300843945167e-13,0.00228108691571406,0.659427401914503,0.5096213507635867,0.004928611323947632,0.46448112637084205,0.6423030785566406,0.004543903209580091,326082.0624596063,-652156.1249192127,-652109.4374994324,198471,0.16808372585142128,0.13449751662939952,7.364935146777639,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
seq_event_num,866186,0.010741291687394836,7.2560683831607085,3.985036726046873e-13,0.0026878526633224865,0.7992802005556322,0.4241279568652079,0.004223570347059264,0.4043096987109371,0.6859849943500569,0.004742620081357729,326168.5268227024,-652329.0536454048,-652282.3662256245,198471,0.1680611806361714,0.13447225721007616,7.2560683831607085,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_blocked_att,872728,-0.5134083850850859,-7.152203979040382,8.539554443655234e-13,0.21857228316732571,1.1803277272151227,0.23786989440039452,0.007569942033766323,0.7268705784536041,0.4673052421022734,0.000287586872701584,326612.98691942485,-653217.9738388497,-653171.2563219818,199913,0.16834965246028896,0.13487017064534998,7.152203979040382,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_saved_att,872728,-0.23114237998490175,-9.6653810845706,4.2304247128202835e-22,-0.1454665129876309,-1.5544251650296042,0.12008303441379124,0.007635940577782309,0.7341349258542227,0.4628665092077545,0.0002821597815283461,326610.61805738637,-653213.2361147727,-653166.5185979048,199913,0.16835737087913244,0.13487558738414493,9.6653810845706,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
break_line_suc,872728,-0.015680968771741,-9.673316721441232,3.914806627391113e-22,-0.006789679507954584,-1.1272661261545565,0.2596299797003516,0.00783324550379232,0.7625967596130092,0.4457039176863422,0.0004574272897149845,326687.12678095617,-653366.2535619123,-653319.5360450444,199913,0.16834173112359763,0.13486632565678267,9.673316721441232,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
zone14_pass_try,872728,-0.029926258233162223,-10.410527285315114,2.2198866293005507e-25,0.006665814680822223,0.7091537717153723,0.4782290573595921,0.007537259180489208,0.7241104862702523,0.4689979072879473,0.0003366851855505226,326634.41834513715,-653260.8366902743,-653214.1191734064,199913,0.16833422375097365,0.13486085232276604,10.410527285315114,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_offpost_att,872728,-0.34820622102778687,-11.448108468926968,2.4033254201988744e-30,0.12104321921934902,1.213934294522163,0.224772815748147,0.007579486412760758,0.7277556687996939,0.4667631661267515,0.00039766081940084685,326661.0356898053,-653314.0713796106,-653267.3538627427,199913,0.16834558807760816,0.13487297494548348,11.448108468926968,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
box_pass_suc,872728,-0.04342108043542969,-14.816775266178785,1.1413357129618901e-49,0.0017149677975527265,0.20529669343819135,0.8373403272962837,0.007606826997473856,0.7293784208871975,0.46577021401925234,0.0006292413728526958,326762.1410195263,-653516.2820390526,-653469.5645221847,199913,0.16833743169779078,0.1348724040130024,14.816775266178785,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
box_pass_try,872728,-0.0314962340124838,-15.397572942638389,1.6992859002480501e-53,-0.0002682170502651682,-0.04124888042971872,0.9670974858600692,0.0075710564413770005,0.7279682756711356,0.4666330064593597,0.0005847401791763129,326742.71050650335,-653477.4210130067,-653430.7034961388,199913,0.16831971594527556,0.13485677983985878,15.397572942638389,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
break_line_try,872728,-0.03748989041669652,-16.644320359375154,3.3272215863805267e-62,6.0888274967800526e-05,0.007973022821452746,0.993638515586871,0.0075774304739600964,0.7308557242016285,0.46486728246264386,0.0010283539974893507,326936.44386497384,-653864.8877299477,-653818.1702130798,199913,0.1682653331307328,0.1348169433285405,16.644320359375154,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
zone14_pass_suc,872728,-0.005728420887782087,-1.8158915195785443,0.06938701445076385,0.008637383345822772,1.0154858778229963,0.3098742749806408,0.007499895611333473,0.7230525810905585,0.46964758050493827,0.00018047309594626526,326566.2353820383,-653124.4707640766,-653077.7532472087,199913,0.16836600615714073,0.13488530178733601,1.8158915195785443,D) 유의 아님,,,attack,hold,D,Not significant
box_pass_suc,874329,0.08405055126295702,23.474663910515343,7.403396665355773e-122,0.011432225575317609,0.7111805607694733,0.4769723530655703,0.01624100723572479,2.4235224897648764,0.015370801495395955,0.0028195893792538618,378474.5365651981,-756941.0731303962,-756894.3482823401,200264,0.1497651336628556,0.09140596492693188,23.474663910515343,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
zone14_pass_suc,874329,0.026276552046782805,9.57027215529476,1.0662462376090673e-21,-0.00943295920341965,-1.0331013551166366,0.3015564692645838,0.016483680715665576,2.4447650061460044,0.014494655014413174,0.0011689283761748825,377751.4840547326,-755494.9681094652,-755448.2432614091,200264,0.1499031927104787,0.09157428441915119,9.57027215529476,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
