metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches
break_line_suc,0.00018687904063205006,1.0532844818657331e-07,1774.2503934076983,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
shot_saved_att,-0.0048867634400736526,0.000167770806352573,-29.127614906994257,0.0,472,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
zone14_pass_try,-0.0014954237609395165,0.0001061934694350603,-14.08206897180247,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
break_line_try,-0.0007135262435072708,5.448925667561907e-05,-13.094805967990647,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
box_pass_try,-0.0013274310521188609,0.00010286623027074369,-12.904439568020187,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
shot_blocked_att,-0.0018156166000002892,0.00016646630480842415,-10.906811454064357,0.0,468,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
att_miss,6.563326556888457e-07,8.638160025554062e-08,7.598060857257014,2.9976021664879227e-14,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
seq_duration,-0.0011436816829905668,0.00015677256704574725,-7.295164610380036,2.9820590441431705e-13,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
seq_event_num,-0.0011984556714772407,0.00017719887568109488,-6.763336769890705,1.3484990901702076e-11,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
box_pass_suc,-0.001458366906346625,0.00021711913212690275,-6.716897272296723,1.8563373060942467e-11,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
zone14_pass_suc,9.665009077429106e-05,8.819595022432515e-05,1.0958563349956878,0.2731416504157438,474,attack,hold,self,D,Not significant,0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
shot_offpost_att,3.0789886520085144e-09,2.8867469391659064e-07,0.010665945844557314,0.991489967838189,474,attack,hold,self,D,Not significant,0.00019346865968394188,0.16974799313047187,0.13564274400205173,0.520310003440944,2281747.5154155726,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237
break_line_suc,4.683048147672403e-05,6.910327471737021e-08,677.6883102611118,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
shot_blocked_att,0.0027333664145151836,0.00010949420235356013,24.963572095708408,0.0,468,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
att_miss,1.3340782787258022e-06,6.335519438928565e-08,21.057125490430437,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
zone14_pass_suc,0.0013125786889198415,8.022311632490296e-05,16.36160185555381,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
box_pass_suc,0.0021624021719801904,0.0001609788998426321,13.432829855925757,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
shot_saved_att,-0.001250439491481548,0.00013602553181606716,-9.192682247126843,0.0,472,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
seq_duration,0.0004538216353520413,9.669144143534622e-05,4.693503671216796,2.6856516868178915e-06,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
box_pass_try,0.00016327562234687813,6.799683067801417e-05,2.4012240088076786,0.01634033010284419,474,attack,xG,self,C,"Significant (p≤0.05, |z|≥1.96)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
shot_offpost_att,-5.431317384640668e-07,2.6726081714266287e-07,-2.0322161111037276,0.04213178258082495,474,attack,xG,self,C,"Significant (p≤0.05, |z|≥1.96)",9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
zone14_pass_try,-0.00015567646079392417,0.00014934282705585545,-1.0424100297478625,0.2972216183957155,474,attack,xG,self,D,Not significant,9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
break_line_try,3.53428492546721e-05,6.75638897192844e-05,0.5231026425730545,0.6009028266655936,474,attack,xG,self,D,Not significant,9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
seq_event_num,-2.8470907249308713e-05,0.00012762646207374284,-0.22307996936292226,0.8234732676891128,474,attack,xG,self,D,Not significant,9.04692083665522e-06,0.1497816982530523,0.09172971607411563,0.07504777162609907,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237
shot_offpost_att,-0.002515909454695566,2.550001315997623e-07,-9866.306495262652,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.07414469789127792,0.11729940703196483,0.08144245655831568,0.09567613125832497,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.999025846279,-11166.233897269392,237
seq_duration,-0.030766784286002255,2.4258643215495197e-05,-1268.281330192036,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.07414469789127792,0.11729940703196483,0.08144245655831568,0.09567613125832497,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.999025846279,-11166.233897269392,237
break_line_suc,6.626076879004674e-05,7.36015952309237e-08,900.2626720542504,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.07414469789127792,0.11729940703196483,0.08144245655831568,0.09567613125832497,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.999025846279,-11166.233897269392,237
box_pass_try,-0.0025262249108884333,3.259033214696743e-05,-77.51454939140599,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.07414469789127792,0.11729940703196483,0.08144245655831568,0.09567613125832497,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.999025846279,-11166.233897269392,237
seq_event_num,-0.002901807238329866,6.016347572778022e-05,-48.23204117161684,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.07414469789127792,0.11729940703196483,0.08144245655831568,0.09567613125832497,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.999025846279,-11166.233897269392,237
zone14_pass_suc,0.002816498056693707,0.0001138609451541815,24.736296127524923,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.07414469789127792,0.11729940703196483,0.08144245655831568,0.09567613125832497,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.999025846279,-11166.233897269392,237
