metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches,abs_z,neglog10_p,group_id,rank_abs_z_in_group
break_line_suc,0.000186879040632,1.0532844818657333e-07,1774.2503934076983,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,1774.2503934076983,300.0,attack|hold|self,1.0
shot_saved_att,-0.0048867634400736,0.0001677708063525,-29.127614906994257,0.0,472,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,29.127614906994257,300.0,attack|hold|self,2.0
zone14_pass_try,-0.0014954237609395,0.000106193469435,-14.08206897180247,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,14.08206897180247,300.0,attack|hold|self,3.0
break_line_try,-0.0007135262435072,5.448925667561907e-05,-13.094805967990649,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,13.094805967990649,300.0,attack|hold|self,4.0
box_pass_try,-0.0013274310521188,0.0001028662302707,-12.904439568020187,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,12.904439568020187,300.0,attack|hold|self,5.0
shot_blocked_att,-0.0018156166000002,0.0001664663048084,-10.906811454064355,0.0,468,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,10.906811454064355,300.0,attack|hold|self,6.0
att_miss,6.563326556888457e-07,8.638160025554063e-08,7.598060857257014,2.9976021664879227e-14,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,7.598060857257014,13.523226006032017,attack|hold|self,7.0
seq_duration,-0.0011436816829905,0.0001567725670457,-7.295164610380036,2.9820590441431705e-13,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,7.295164610380036,12.525483761858307,attack|hold|self,8.0
seq_event_num,-0.0011984556714772,0.000177198875681,-6.763336769890705,1.3484990901702076e-11,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,6.763336769890705,10.87014934222866,attack|hold|self,9.0
box_pass_suc,-0.0014583669063466,0.0002171191321269,-6.716897272296723,1.8563373060942467e-11,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,6.716897272296723,10.731343107392142,attack|hold|self,10.0
