perspective,outcome,target,level_3,z
attack,hold,self,n,12.0
attack,hold,self,abs(z)_p50,9.252436155660686
attack,hold,self,abs(z)_p90,27.623060313475083
attack,hold,self,abs(z)_p99,1582.2868877726219
attack,hold,self,abs(z)_max,1774.2503934076983
attack,xG,self,n,12.0
attack,xG,self,abs(z)_p50,6.94309295917182
attack,xG,self,abs(z)_p90,24.572927435180613
attack,xG,self,abs(z)_p99,605.8885890629178
attack,xG,self,abs(z)_max,677.6883102611118
attack,xT,self,n,12.0
attack,xT,self,abs(z)_p50,21.355231411421737
attack,xT,self,abs(z)_p90,1231.4794643782575
attack,xT,self,abs(z)_p99,8920.523727104888
attack,xT,self,abs(z)_max,9866.306495262652
defense,hold,opp,n,7.0
defense,hold,opp,abs(z)_p50,6.408958277890726
defense,hold,opp,abs(z)_p90,8940.594956536504
defense,hold,opp,abs(z)_p99,18532.928027854337
defense,hold,opp,abs(z)_max,19598.74281355633
defense,hold,self,n,5.0
defense,hold,self,abs(z)_p50,17.13452657116657
defense,hold,self,abs(z)_p90,1170.7439866504064
defense,hold,self,abs(z)_p99,1813.6122092183962
defense,hold,self,abs(z)_max,1885.0420117259507
defense,xG,opp,n,7.0
defense,xG,opp,abs(z)_p50,4.20493319779286
defense,xG,opp,abs(z)_p90,63993.98364024105
defense,xG,opp,abs(z)_p99,149586.79366000768
defense,xG,opp,abs(z)_max,159097.1058844263
defense,xG,self,n,5.0
defense,xG,self,abs(z)_p50,15.027908435950136
defense,xG,self,abs(z)_p90,496.04305165939826
defense,xG,self,abs(z)_p99,763.2351227856711
defense,xG,self,abs(z)_max,792.9231306885904
defense,xT,opp,n,7.0
defense,xT,opp,abs(z)_p50,5.40214923044866
defense,xT,opp,abs(z)_p90,4853.128467499703
defense,xT,opp,abs(z)_p99,10514.651224865653
defense,xT,opp,abs(z)_max,11143.709309017431
defense,xT,self,n,5.0
defense,xT,self,abs(z)_p50,12.395724823789434
defense,xT,self,abs(z)_p90,466.7177258967227
defense,xT,self,abs(z)_p99,706.3871536273671
defense,xT,self,abs(z)_max,733.0170900418832
